weekday,hour,LZR.alpha.Racks.HPC-Wirkleistung,LZR.barnard.Racks-E12.Wirkleistung,LZR.capella.Racks-E12.Wirkleistung,LZR.DLR.Racks-AK.HPC-Wirkleistung
5,00,92705.5341886874,543899.5454274859,223567.0818067011,829064.3502566223
5,01,91735.5428729575,539668.2311933752,221984.84214556532,824374.3939946432
5,02,91351.01243416946,537862.0782244092,218976.62215714072,820294.5887087349
5,03,90358.07261038937,535877.6878816299,216504.41756720414,815589.4217507293
5,04,89229.21779056769,534144.7196569085,214031.6807536446,812591.1638141768
5,05,88540.04619338295,532216.2539551322,210857.78000580598,809003.2398999123
5,06,87380.71949946256,526502.6769505363,208134.58338000748,813412.9605542693
5,07,85762.78684170143,526364.5133431191,206685.69457352092,816816.679507667
5,08,85849.18753944804,527028.1392586963,206488.19911267924,818537.5489362035
5,09,86036.22498038413,533312.6327541246,207141.5168066848,824776.0064454094
5,10,87381.71484662203,538221.3483996238,208302.52710259566,830276.7020837179
5,11,90046.85777719395,543270.5084232978,214226.76911343885,829532.3401245138
5,12,90347.36859015547,549585.6908412945,220396.49011056716,832431.5285637207
5,13,90733.90024188562,554597.6931134128,220964.70216933207,833675.0116826781
5,14,90528.96297462958,555621.9927099365,223742.90297280655,835251.8698626106
5,15,90735.57189416267,559177.7786016097,228700.0336498233,837080.9517507031
5,16,92100.53791135518,558069.299519052,228137.17898449096,841609.1590393982
5,17,92457.83496620503,556336.36879113,228102.48211263317,846357.0477175549
5,18,93269.62171344482,554645.4768524719,222781.73761388462,844263.1851166565
5,19,93304.21556940834,552770.7203198445,222191.00552771508,840442.3155864683
5,20,93109.7474971258,550286.2935045056,222941.43505258697,838469.2673108271
5,21,93251.05268277345,546019.0577463536,229367.68428034324,833416.2779378564
5,22,93181.4296299693,545376.7641536214,228733.3128393549,829332.9409354205
5,23,92563.75262569019,543769.4756662888,228329.47606971152,831239.0446492843
1,00,83254.17436288896,511792.466634111,201552.44956249348,799592.1004159825
1,01,82768.55989417983,509477.60604273867,202314.74378407842,793610.0966209113
1,02,82280.85974917443,507172.07643809536,200470.36843937076,789984.5348331759
1,03,81917.69522392063,504479.8643246115,203096.45942410592,786634.7082401951
1,04,81730.0746276898,501953.5501229248,200202.26266203187,779382.4139254417
1,05,80992.18847277473,499352.3481757287,197852.02126355753,773357.2732880148
1,06,80380.93574180331,495341.89850517157,196417.32065200208,778964.3303718595
1,07,80597.65365199347,494588.8598341399,195319.69609945693,787487.646208937
1,08,81538.365394365,497498.31231470824,197838.58267282244,795569.7757611529
1,09,81140.18329267763,502357.0995873815,196947.4371209306,809657.0249661436
1,10,81903.40279000597,509973.85949267465,200089.0782223798,819325.7924060223
1,11,82706.9173750334,517941.5838429907,204707.55861671154,822582.972433631
1,12,83404.95363199928,523855.5578698206,210020.15238974593,824483.1494525079
1,13,82448.79955547837,528382.8522143907,213417.67012962276,822582.3440148617
1,14,82594.0901308053,530914.2382354388,218787.1564814586,826032.4251351461
1,15,83901.86628765848,536018.949171742,223831.52095140986,828483.7800533727
1,16,84777.4106225138,535795.9224258909,224598.4515554078,827447.1289493997
1,17,85337.199104115,539501.6158019354,225532.11527435292,826492.4407703297
1,18,85737.10784925527,538851.0852533647,225641.11419951658,827817.6124774019
1,19,87112.5570608688,538020.4328130745,226004.98690652827,824469.4182177574
1,20,85572.07628973963,536020.9318213056,223233.35357789745,822648.4987480858
1,21,86286.91675641531,534964.7540709215,223951.52633839177,818484.0613841616
1,22,86752.21322196849,534647.581532513,224056.6305851662,820526.7533449414
1,23,87030.15895268032,535548.3641824457,224565.91001021232,822700.9804796141
6,00,91197.43038137257,543101.030158297,225628.72658258,834169.3210802885
6,01,89981.92930693938,542750.790444169,223023.44736563413,829908.139740125
6,02,89735.40694881066,541709.5056566737,221189.0094426849,824804.1578302619
6,03,89604.08923672057,540824.2621329571,219091.61385602812,818362.3359048777
