weekday,hour,LZR.alpha.Racks.HPC-Wirkleistung,LZR.barnard.Racks-E12.Wirkleistung,LZR.capella.Racks-E12.Wirkleistung,LZR.DLR.Racks-AK.HPC-Wirkleistung
6,04,89174.91619765686,538843.0858044802,216049.18483067763,813985.5877569504
6,05,88324.89932214926,535032.5423705949,214774.58004639115,810660.5262744066
6,06,88166.71827459481,532236.44389627,213462.62613022424,806397.8662474098
6,07,86962.55261655197,530001.9837589329,212433.85486419012,804599.6427838704
6,08,86606.92853347567,528136.5698084306,209914.5301010773,809556.5963748396
6,09,86840.66727589591,527298.3679906688,207951.1215507031,807843.0551733536
6,10,87325.85598574296,530560.7197021918,209932.01000370817,811391.2472789423
6,11,88056.97084999062,530850.5190606651,214570.06435813133,812275.9753382646
6,12,88113.30702952407,530616.0293755458,218238.5245046855,812328.137511774
6,13,87491.7397733913,529662.9394608144,216936.9814932815,811105.4640918044
6,14,87041.61811352739,532974.5652150228,215431.85381485242,808403.0954716669
6,15,86547.71953897023,534684.675356866,218798.1452922935,810303.6991387332
6,16,86427.36273011074,534109.1636600017,220702.16312903807,810771.9672481385
6,17,86160.29901929244,531347.4877393255,219511.78868216624,811225.1038931166
6,18,86684.05302160666,532328.8683030182,218344.9927404637,810913.7139508881
6,19,87054.14955181963,533388.8230334197,213708.33721185423,813770.9224440811
6,20,87091.13084645065,533794.6391234918,212269.32512090409,813070.8606455365
6,21,86703.0017891652,531362.52397927,210634.82741573134,816024.8884102311
6,22,86573.95658385767,529946.8441576914,210665.13813659054,818066.314210047
6,23,87413.80535356004,529394.3006013533,211701.95711925305,817298.2438346521
7,00,86837.787171112,527690.9967786618,208688.98081610024,815826.917999213
7,01,86200.31921281223,525120.1920225853,206348.66418234225,811838.5238282858
7,02,86218.04794367218,525647.6384544045,205563.80613953183,811250.3513984481
7,03,85514.56570478037,520297.3095127023,206208.1416859339,807715.7766545424
7,04,85011.11833411339,518298.7327487754,205802.58778206547,806442.2418224358
7,05,84604.86422826952,513351.4493469133,204309.70068627352,803817.7284175085
7,06,84317.26942622167,509849.6108898629,202191.34023962133,800871.5955288184
7,07,84082.08580309459,506946.9601217332,201476.6044490541,800838.324547169
7,08,83911.116674019,505793.3156175362,202479.9718890087,802109.1947596349
7,09,83914.2048105964,511072.66612173663,204403.57881257384,798036.3001163628
7,10,84047.62813486133,514932.9704491875,202921.02178701492,799916.328969667
7,11,83970.03264036398,512220.5901821911,201547.895622217,803595.5519568524
7,12,83763.16745208426,513763.8059525801,201293.6017930852,802218.8891477819
7,13,83877.09294171057,515285.6931982247,203860.72040660292,801322.1827138365
7,14,85528.01684796702,515673.2030243811,204109.04323921045,801646.9132276764
7,15,85552.98945789325,518655.5344510533,203527.61888596567,803261.5300407521
7,16,84876.01764220454,515844.2170394725,202939.95358439773,804081.4467273999
7,17,84940.39186352077,517121.605605962,202216.19687446508,804619.4834080018
7,18,84628.42730356432,516809.7788928004,204251.9313573267,805076.0924659774
7,19,84573.3814139583,513993.423593233,204244.13442642805,804590.4645736765
7,20,84747.48505544103,516998.655857941,203605.11580694921,800087.0563177571
7,21,83943.61198182932,514449.0292217903,203666.61494473797,800157.2244624698
7,22,82439.33811349507,515331.0267313291,204186.635597416,804345.2265958307
7,23,82775.6547392657,513169.1238647703,203818.77511945137,802523.8463089038
4,00,85967.71574269539,539917.645309921,220807.88838388645,832594.5162945771
4,01,85712.78185383537,537490.8129291172,217271.627995768,830744.7316488746
4,02,85219.0750087484,533511.711656155,214767.07689720584,829132.7254591822
4,03,84393.73264244992,530912.5939736492,210083.35381473293,824335.5810033305
4,04,84720.62137474212,527801.6481249589,207512.95196884777,821358.1182707105
4,05,84519.94804266907,524982.3369908041,204740.4983333626,819397.9983577101
4,06,84089.8727028602,522440.9624209641,201620.26699389864,819674.0753032775
4,07,83916.95809613114,521125.9976325122,199302.37671391401,823071.6246944554
4,08,84506.1962811719,523100.6255942925,200203.66829843726,824692.3451606468
4,09,85717.00444346716,527850.4554499228,205924.89756685947,837837.5469467529
4,10,87288.89153513444,536081.9342911011,208269.20484648628,844395.9875472661
4,11,88178.69255707886,540062.9902134925,213400.90251058515,845150.5252906253
4,12,88482.12356176832,541466.5946166859,213452.26869137235,845883.8286678554
4,13,88775.62476879704,541396.7455039125,215312.23873145746,847641.8590422601
4,14,89752.55159630827,540738.4609688345,217994.07197519207,849054.6907847512
4,15,89679.8528444253,544647.243880359,218771.4354498875,851490.3986663965
4,16,90207.49272840695,544630.11097572,221754.3440933526,851947.1913465804
4,17,91146.00081663252,545889.4518015796,226195.71022287457,848477.0122775697
4,18,90921.00107415861,551584.012988752,225659.8178955657,844742.5468960139
4,19,90625.40362216966,554302.1648108814,225467.242379702,842986.2718752355
4,20,91232.83449208824,553327.7088997799,224692.33345667854,837722.4573572167
4,21,91582.5851573892,550282.0288512567,224447.74729249164,837515.7241979146
4,22,91424.28802905478,549151.2552335278,226719.27107584693,835952.6237702082
4,23,91674.85768952977,547981.2695352056,226108.05856925646,833266.5626331802
2,00,86819.61944918002,537005.5340540154,221490.6674703295,822293.1470580924
2,01,86301.38888686356,532071.2125843235,219341.91978675014,818256.4166495179
2,02,85102.98361016437,528446.6182472107,219479.94104290788,814534.0668672078
2,03,84563.03349086873,523862.6762830745,217064.63247464433,810589.6166307294
2,04,83856.74245264535,518827.855958412,214073.36061407673,808000.1383643079
2,05,83224.5752680157,516955.7509244378,210826.6552458313,803635.6776531455
2,06,82427.03158149618,514675.2092485937,207224.1133723894,802334.5894948087
2,07,81592.0080904169,517450.8813673443,206478.84108713754,799974.5187789628
2,08,82027.82228579312,518666.733138912,205226.08965350224,804295.4315132158
2,09,82378.30183270464,519846.5373361701,206247.5156699599,819607.1762664252
2,10,83807.28254072986,518001.1340028904,208053.06568180106,823271.8679183614
2,11,84123.06626389987,522632.7923154776,216035.85174398975,828343.533479321
2,12,84659.89404130545,525610.7088897878,220378.433963786,835236.3799753896
2,13,84478.39140204434,528235.991800364,219420.40338484722,834214.2760385461
2,14,85922.4090241139,529106.8697102968,219370.5344921121,839378.9722939214
2,15,86009.49414625903,528456.9580108864,221900.84111427868,841601.485344742
2,16,85386.80205610824,528155.6112797375,225340.5165848862,843080.3772738977
2,17,85763.50792949663,530270.1883426249,225913.64816744155,842963.0140701693
2,18,85921.79396871396,527932.8197878956,226091.17500960224,845813.9106500047
2,19,85281.13667641894,526752.5947962662,226222.83628690317,843727.438134914
2,20,85329.36230486332,525366.6528429275,223529.12708350615,842198.9373521903
2,21,85384.28154557786,528136.725290218,219200.90191030263,838078.521767214
2,22,85927.50062094541,532937.4577528826,219600.08131372393,835644.6600142725
2,23,85112.19035583835,521057.7917259382,218269.3003979774,833771.2390413719
3,00,85566.14070083235,518420.4030220383,216581.7495208126,828305.4798869458
3,01,84440.06848223694,515972.3735716492,215005.04457961694,825677.7985294177
3,02,83717.41740884345,513729.8533028619,213189.77808306857,823359.6930788232
3,03,83265.05054366137,510316.2640795675,209471.1812715143,819037.5682523572
3,04,82437.5319525776,506765.1114817055,207072.66595621988,810189.2820504116
3,05,82126.9606570433,503292.15388238833,204614.4868744962,807103.6523855458
3,06,81562.82587110078,500025.7542450357,202331.0390236587,808124.0704852471
3,07,80627.08419770819,499502.1470679235,200919.73823330167,809015.8648545449
3,08,80263.71238682786,499381.937056288,200890.37116430023,812567.5068362268
3,09,80764.97207905553,503933.64026230734,202325.24882642213,827045.6304984941
3,10,81657.26414689246,514688.7966030035,209827.78802025283,834924.1691111592
3,11,83376.31000982957,519826.1331072976,214903.33326075205,841680.6674517478
3,12,84711.58176777003,523390.948003043,213496.08282187452,847273.1680210373
3,13,86437.93550480207,528042.9152116161,213791.48105408888,848382.0236545766
3,14,88334.22156015475,537678.5577945192,217038.4142915633,844364.8890861881
3,15,89096.9063425712,540598.1260104296,221545.86162659922,846994.4967651923
3,16,89118.71787466255,542745.991250322,223887.16554240136,849845.1301528983
3,17,90132.6264516042,544438.3375734741,224447.89048940774,847984.1929914201
3,18,89581.79908849561,543266.0813500513,226074.3273764898,845473.5636190928
3,19,88897.5587743362,543336.0135304674,222399.14134593715,841982.0512305508
3,20,88117.12716451606,543525.3367504873,219602.22716046715,841236.8949760584
3,21,87658.87224604283,541031.7368128634,218948.4664715495,838294.3418383451
3,22,86690.73312303854,541307.0174031975,218599.78392882928,835949.3722420985
3,23,86312.90191693077,541348.5420643822,218985.68596865707,834359.260723091
